Sequence,NodeNo,NodeName,componentName,Type,RefNo,Point,PPoint,Bore,O/D,Wall Thickness,Corrosion Allowance,Radius,SIF,LTube Length,Weight,Material,Rigid Weight,Rigid,East,North,Up,Conn Ref,Connected Type,Insu Material,Insu Thickness,Status,Bend Type,Pressure,Temperature,Restraint Type,Restraint Stiffness,Restraint Friction,Restraint Gap
142,,,unset,OLET,=67132086/1586,2,2,250mm,273,0.000,0,0.000,0,150mm,0.000,,0.000,,158200.000mm,154533.800mm,101336.500mm,=67132086/1596,,,0,,0,,,,,,
143,,,unset,TEE,=67132086/1587,1,1,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,158200.000mm,154683.800mm,101336.500mm,=67132086/1440,,,0,,0,,,,,,
144,,,unset,TEE,=67132086/1587,3,3,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,157984.000mm,154899.800mm,101336.500mm,=67132086/1440,,,0,,0,,,,,,
145,520,,unset,TEE,=67132086/1587,0,0,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,158200.000mm,154899.800mm,101336.500mm,=67132086/1440,,,0,,0,,,,,,
146,,,unset,TEE,=67132086/1587,2,2,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,158200.000mm,155115.800mm,101336.500mm,=67132086/1440,,,0,,0,,,,,,
147,530,,unset,FLAN,=67132086/1588,1,2,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,START,158200.000mm,155115.800mm,101336.500mm,Unset,,,0,,0,,,,,,
148,,,unset,FLAN,=67132086/1588,2,1,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,158200.000mm,155274.800mm,101336.500mm,Unset,,,0,,0,,,,,,
149,,,unset,GASK,=67132086/1589,1,1,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,158200.000mm,155274.800mm,101336.500mm,Unset,,,0,,0,,,,,,
150,,,unset,GASK,=67132086/1589,2,2,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,158200.000mm,155278.000mm,101336.500mm,Unset,,,0,,0,,,,,,
151,,,unset,INST,=67132086/1590,1,2,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,158200.000mm,155278.000mm,101336.500mm,Unset,,,0,,0,,,,,,
152,,,unset,INST,=67132086/1590,2,1,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,158200.000mm,156065.000mm,101336.500mm,Unset,,,0,,0,,,,,,
153,,,unset,GASK,=67132086/1591,1,1,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,158200.000mm,156065.000mm,101336.500mm,Unset,,,0,,0,,,,,,
154,,,unset,GASK,=67132086/1591,2,2,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,158200.000mm,156068.200mm,101336.500mm,Unset,,,0,,0,,,,,,
155,,,unset,FLAN,=67132086/1592,1,1,250mm,273,0.000,0,0.000,0,880mm,0.000,,0.000,,158200.000mm,156068.200mm,101336.500mm,Unset,,,0,,0,,,,,,
156,540,,unset,FLAN,=67132086/1592,2,2,250mm,273,0.000,0,0.000,0,880mm,0.000,,0.000,END,158200.000mm,156227.200mm,101336.500mm,Unset,,,0,,0,,,,,,
157,550,PS-171016.1,PS-171016.1,ATTA,=67132086/1593,0,0,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,158200.000mm,157108.000mm,101336.500mm,Unset,,,0,,0,,,,,,
158,560,PS-171016.6,PS-171016.6,ATTA,=67132086/1594,0,0,250mm,273,0.000,0,0.000,0,1458mm,0.000,,0.000,,158200.000mm,157108.000mm,101336.500mm,Unset,,,0,,0,,,,,,
159,,,unset,ELBO,=67132086/1595,1,1,250mm,273,0.000,0,383.860,0,161mm,0.000,,0.000,,158200.000mm,158290.500mm,101336.500mm,Unset,,,0,,0,,,,,,
160,570,,unset,ELBO,=67132086/1595,0,0,250mm,273,0.000,0,383.860,0,161mm,0.000,,0.000,,158200.000mm,158449.500mm,101336.500mm,Unset,,,0,,0,,,,,,
161,,,unset,ELBO,=67132086/1595,2,2,250mm,273,0.000,0,383.860,0,161mm,0.000,,0.000,,158200.000mm,158561.930mm,101224.070mm,Unset,,,0,,0,,,,,,
162,580,,unset,BRAN,=67132086/1554,2,2,250mm,273,0.000,0,0.000,0,0mm,0.000,0,0.000,,158200.000mm,158858.200mm,100927.800mm,=67132086/1670,TEE,0,0,,0,0,-100000,,,,
163,,17-VBL-20031,unset,BRAN,=67132086/1509,1,1,250mm,273,0.000,0,0.000,0,0mm,0.000,0,0.000,START,160000.000mm,151800.000mm,101336.500mm,=67132094/21,BRAN,0,0,,0,0,-100000,,,,
164,590,,unset,GASK,=67132086/1510,1,1,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,160000.000mm,151800.000mm,101336.500mm,Unset,,,0,,0,,,,,,
165,,,unset,GASK,=67132086/1510,2,2,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,160000.000mm,151796.800mm,101336.500mm,Unset,,,0,,0,,,,,,
166,,,17-VBL-20031,VALV,=67132086/1511,1,2,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,160000.000mm,151796.800mm,101336.500mm,Unset,,,0,,0,,,,,,
167,,,17-VBL-20031,VALV,=67132086/1511,2,1,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,160000.000mm,151009.800mm,101336.500mm,Unset,,,0,,0,,,,,,
168,,,unset,GASK,=67132086/1512,1,1,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,160000.000mm,151009.800mm,101336.500mm,Unset,,,0,,0,,,,,,
169,,,unset,GASK,=67132086/1512,2,2,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,160000.000mm,151006.600mm,101336.500mm,Unset,,,0,,0,,,,,,
170,,,unset,FLAN,=67132086/1513,1,1,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,160000.000mm,151006.600mm,101336.500mm,Unset,,,0,,0,,,,,,
171,600,17-VBL-20031,unset,FLAN,=67132086/1513,2,2,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,END,160000.000mm,150847.600mm,101336.500mm,Unset,,,0,,0,,,,,,
172,,,unset,ELBO,=67132086/1514,1,1,250mm,273,0.000,0,381.000,0,1718mm,0.000,,0.000,,160000.000mm,150847.600mm,101336.500mm,Unset,,,0,,0,,,,,,
173,610,,unset,ELBO,=67132086/1514,0,0,250mm,273,0.000,0,381.000,0,1718mm,0.000,,0.000,,160000.000mm,150466.600mm,101336.500mm,Unset,,,0,,1,,,,,,
174,,,unset,ELBO,=67132086/1514,2,2,250mm,273,0.000,0,381.000,0,1718mm,0.000,,0.000,,160381.000mm,150466.600mm,101336.500mm,Unset,,,0,,0,,,,,,
175,620,PS-171018.1,PS-171018.1,ATTA,=67132086/1515,0,0,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,162099.987mm,150466.600mm,101336.500mm,Unset,,,0,,0,,,,,,
176,630,PS-171018.2,PS-171018.2,ATTA,=67132086/1516,0,0,250mm,273,0.000,0,0.000,0,1164mm,0.000,,0.000,,162099.987mm,150466.600mm,101336.500mm,Unset,,,0,,0,,,,,,
177,,,unset,ELBO,=67132086/1517,1,1,250mm,273,0.000,0,381.000,0,0mm,0.000,,0.000,,162819.000mm,150466.600mm,101336.500mm,Unset,,,0,,0,,,,,,
178,640,,unset,ELBO,=67132086/1517,0,0,250mm,273,0.000,0,381.000,0,0mm,0.000,,0.000,,163200.000mm,150466.600mm,101336.500mm,Unset,,,0,,1,,,,,,
179,,,unset,ELBO,=67132086/1517,2,2,250mm,273,0.000,0,381.000,0,0mm,0.000,,0.000,,163200.000mm,150847.600mm,101336.500mm,Unset,,,0,,0,,,,,,
180,650,17-VCH-20003,unset,FLAN,=67132086/1518,1,2,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,START,163200.000mm,150847.600mm,101336.500mm,Unset,,,0,,0,,,,,,
181,,,unset,FLAN,=67132086/1518,2,1,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,163200.000mm,151006.600mm,101336.500mm,Unset,,,0,,0,,,,,,
182,,,unset,GASK,=67132086/1519,1,1,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,163200.000mm,151006.600mm,101336.500mm,Unset,,,0,,0,,,,,,
183,,,unset,GASK,=67132086/1519,2,2,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,163200.000mm,151009.800mm,101336.500mm,Unset,,,0,,0,,,,,,
184,,,17-VCH-20003,VALV,=67132086/1520,1,1,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,163200.000mm,151009.800mm,101336.500mm,Unset,,,0,,0,,,,,,
185,,,17-VCH-20003,VALV,=67132086/1520,2,2,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,163200.000mm,151796.800mm,101336.500mm,Unset,,,0,,0,,,,,,
186,,,unset,GASK,=67132086/1521,1,1,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,163200.000mm,151796.800mm,101336.500mm,Unset,,,0,,0,,,,,,
187,,,unset,GASK,=67132086/1521,2,2,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,163200.000mm,151800.000mm,101336.500mm,Unset,,,0,,0,,,,,,
188,,,unset,FLAN,=67132086/1522,1,1,250mm,273,0.000,0,0.000,0,125mm,0.000,,0.000,,163200.000mm,151800.000mm,101336.500mm,Unset,,,0,,0,,,,,,
189,660,17-VCH-20003,unset,FLAN,=67132086/1522,2,2,250mm,273,0.000,0,0.000,0,125mm,0.000,,0.000,END,163200.000mm,151959.000mm,101336.500mm,Unset,,,0,,0,,,,,,
190,,,unset,OLET,=67132086/1523,1,1,250mm,273,0.000,0,0.000,0,262mm,0.000,,0.000,,163200.000mm,152084.000mm,101336.500mm,=67132086/260,,,0,,0,,,,,,
191,,,unset,OLET,=67132086/1523,3,3,50mm,273,0.000,0,0.000,0,262mm,0.000,,0.000,,163200.000mm,152084.000mm,101511.100mm,=67132086/260,,,0,,0,,,,,,
192,670,,unset,OLET,=67132086/1523,0,0,250mm,273,0.000,0,0.000,0,262mm,0.000,,0.000,,163200.000mm,152084.000mm,101336.500mm,=67132086/260,,,0,,0,,,,,,
193,,,unset,OLET,=67132086/1523,2,2,250mm,273,0.000,0,0.000,0,262mm,0.000,,0.000,,163200.000mm,152084.000mm,101336.500mm,=67132086/260,,,0,,0,,,,,,
194,680,PS-171020.2,PS-171020.2,ATTA,=67132086/1524,0,0,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,163200.000mm,152347.000mm,101336.500mm,Unset,,,0,,0,,,,,,
195,690,PS-171020.4,PS-171020.4,ATTA,=67132086/1525,0,0,250mm,273,0.000,0,0.000,0,734mm,0.000,,0.000,,163200.000mm,152347.000mm,101336.500mm,Unset,,,0,,0,,,,,,
196,700,17-VBL-20032,unset,FLAN,=67132086/1526,1,2,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,START,163200.000mm,152922.400mm,101336.500mm,Unset,,,0,,0,,,,,,
197,,,unset,FLAN,=67132086/1526,2,1,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,163200.000mm,153081.400mm,101336.500mm,Unset,,,0,,0,,,,,,
198,,,unset,GASK,=67132086/1527,1,1,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,163200.000mm,153081.400mm,101336.500mm,Unset,,,0,,0,,,,,,
199,,,unset,GASK,=67132086/1527,2,2,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,163200.000mm,153084.600mm,101336.500mm,Unset,,,0,,0,,,,,,
200,,,17-VBL-20032,VALV,=67132086/1528,1,2,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,163200.000mm,153084.600mm,101336.500mm,Unset,,,0,,0,,,,,,
201,,,17-VBL-20032,VALV,=67132086/1528,2,1,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,163200.000mm,153871.600mm,101336.500mm,Unset,,,0,,0,,,,,,
202,,,unset,GASK,=67132086/1529,1,1,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,163200.000mm,153871.600mm,101336.500mm,Unset,,,0,,0,,,,,,
203,,,unset,GASK,=67132086/1529,2,2,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,163200.000mm,153874.800mm,101336.500mm,Unset,,,0,,0,,,,,,
204,,,unset,PCOM,=67132086/1530,1,1,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,163200.000mm,153874.800mm,101336.500mm,Unset,,,0,,0,,,,,,
205,,,unset,PCOM,=67132086/1530,2,2,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,163200.000mm,153909.900mm,101336.500mm,Unset,,,0,,0,,,,,,
206,,,unset,GASK,=67132086/1531,1,1,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,163200.000mm,153909.900mm,101336.500mm,Unset,,,0,,0,,,,,,
207,,,unset,GASK,=67132086/1531,2,2,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,163200.000mm,153913.100mm,101336.500mm,Unset,,,0,,0,,,,,,
208,,,unset,FLAN,=67132086/1532,1,1,250mm,273,0.000,0,0.000,0,191mm,0.000,,0.000,,163200.000mm,153913.100mm,101336.500mm,Unset,,,0,,0,,,,,,
209,710,17-VBL-20032,unset,FLAN,=67132086/1532,2,2,250mm,273,0.000,0,0.000,0,191mm,0.000,,0.000,END,163200.000mm,154072.100mm,101336.500mm,Unset,,,0,,0,,,,,,
210,720,PS-171023.2,PS-171023.2,ATTA,=67132086/1533,0,0,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,163200.000mm,154263.397mm,101336.500mm,Unset,,,0,,0,,,,,,
211,730,PS-171023.6,PS-171023.6,ATTA,=67132086/1534,0,0,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,163200.000mm,154263.397mm,101336.500mm,Unset,,,0,,0,,,,,,
212,740,PS-171023.4,PS-171023.4,ATTA,=67132086/1535,0,0,250mm,273,0.000,0,0.000,0,270mm,0.000,,0.000,,163200.000mm,154263.397mm,101336.500mm,Unset,,,0,,0,,,,,,
213,,,unset,OLET,=67132086/1536,1,1,250mm,273,0.000,0,0.000,0,150mm,0.000,,0.000,,163200.000mm,154533.800mm,101336.500mm,=67132086/1546,,,0,,0,,,,,,
214,,,unset,OLET,=67132086/1536,3,3,50mm,273,0.000,0,0.000,0,150mm,0.000,,0.000,,163200.000mm,154533.800mm,101161.900mm,=67132086/1546,,,0,,0,,,,,,
215,750,,unset,OLET,=67132086/1536,0,0,250mm,273,0.000,0,0.000,0,150mm,0.000,,0.000,,163200.000mm,154533.800mm,101336.500mm,=67132086/1546,,,0,,0,,,,,,
216,,,unset,OLET,=67132086/1536,2,2,250mm,273,0.000,0,0.000,0,150mm,0.000,,0.000,,163200.000mm,154533.800mm,101336.500mm,=67132086/1546,,,0,,0,,,,,,
217,,,unset,TEE,=67132086/1537,1,1,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,163200.000mm,154683.800mm,101336.500mm,=67132086/1428,,,0,,0,,,,,,
218,,,unset,TEE,=67132086/1537,3,3,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,162984.000mm,154899.800mm,101336.500mm,=67132086/1428,,,0,,0,,,,,,
219,760,,unset,TEE,=67132086/1537,0,0,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,163200.000mm,154899.800mm,101336.500mm,=67132086/1428,,,0,,0,,,,,,
220,,,unset,TEE,=67132086/1537,2,2,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,163200.000mm,155115.800mm,101336.500mm,=67132086/1428,,,0,,0,,,,,,
221,770,,unset,FLAN,=67132086/1538,1,2,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,START,163200.000mm,155115.800mm,101336.500mm,Unset,,,0,,0,,,,,,
222,,,unset,FLAN,=67132086/1538,2,1,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,163200.000mm,155274.800mm,101336.500mm,Unset,,,0,,0,,,,,,
223,,,unset,GASK,=67132086/1539,1,1,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,163200.000mm,155274.800mm,101336.500mm,Unset,,,0,,0,,,,,,
224,,,unset,GASK,=67132086/1539,2,2,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,163200.000mm,155278.000mm,101336.500mm,Unset,,,0,,0,,,,,,
225,,,unset,INST,=67132086/1540,1,2,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,163200.000mm,155278.000mm,101336.500mm,Unset,,,0,,0,,,,,,
226,,,unset,INST,=67132086/1540,2,1,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,163200.000mm,156065.000mm,101336.500mm,Unset,,,0,,0,,,,,,
227,,,unset,GASK,=67132086/1541,1,1,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,163200.000mm,156065.000mm,101336.500mm,Unset,,,0,,0,,,,,,
228,,,unset,GASK,=67132086/1541,2,2,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,163200.000mm,156068.200mm,101336.500mm,Unset,,,0,,0,,,,,,
229,,,unset,FLAN,=67132086/1542,1,1,250mm,273,0.000,0,0.000,0,880mm,0.000,,0.000,,163200.000mm,156068.200mm,101336.500mm,Unset,,,0,,0,,,,,,
230,780,,unset,FLAN,=67132086/1542,2,2,250mm,273,0.000,0,0.000,0,880mm,0.000,,0.000,END,163200.000mm,156227.200mm,101336.500mm,Unset,,,0,,0,,,,,,
231,790,PS-171024.1,PS-171024.1,ATTA,=67132086/1543,0,0,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,163200.000mm,157108.000mm,101336.500mm,Unset,,,0,,0,,,,,,
232,800,PS-171024.6,PS-171024.6,ATTA,=67132086/1544,0,0,250mm,273,0.000,0,0.000,0,1458mm,0.000,,0.000,,163200.000mm,157108.000mm,101336.500mm,Unset,,,0,,0,,,,,,
233,,,unset,ELBO,=67132086/1545,1,1,250mm,273,0.000,0,383.860,0,161mm,0.000,,0.000,,163200.000mm,158290.500mm,101336.500mm,Unset,,,0,,0,,,,,,
234,810,,unset,ELBO,=67132086/1545,0,0,250mm,273,0.000,0,383.860,0,161mm,0.000,,0.000,,163200.000mm,158449.500mm,101336.500mm,Unset,,,0,,0,,,,,,
235,,,unset,ELBO,=67132086/1545,2,2,250mm,273,0.000,0,383.860,0,161mm,0.000,,0.000,,163200.000mm,158561.930mm,101224.070mm,Unset,,,0,,0,,,,,,
236,820,,unset,BRAN,=67132086/1509,2,2,250mm,273,0.000,0,0.000,0,0mm,0.000,0,0.000,,163200.000mm,158858.200mm,100927.800mm,=67132086/1676,TEE,0,0,,0,0,-100000,,,,
237,,17-VBL-20041,unset,BRAN,=67132086/1464,1,1,250mm,273,0.000,0,0.000,0,0mm,0.000,0,0.000,START,165000.000mm,151800.000mm,101336.500mm,=67132094/31,BRAN,0,0,,0,0,-100000,,,,
238,830,,unset,GASK,=67132086/1465,1,1,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,165000.000mm,151800.000mm,101336.500mm,Unset,,,0,,0,,,,,,
239,,,unset,GASK,=67132086/1465,2,2,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,165000.000mm,151796.800mm,101336.500mm,Unset,,,0,,0,,,,,,
240,,,17-VBL-20041,VALV,=67132086/1466,1,2,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,165000.000mm,151796.800mm,101336.500mm,Unset,,,0,,0,,,,,,
241,,,17-VBL-20041,VALV,=67132086/1466,2,1,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,165000.000mm,151009.800mm,101336.500mm,Unset,,,0,,0,,,,,,
242,,,unset,GASK,=67132086/1467,1,1,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,165000.000mm,151009.800mm,101336.500mm,Unset,,,0,,0,,,,,,
243,,,unset,GASK,=67132086/1467,2,2,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,165000.000mm,151006.600mm,101336.500mm,Unset,,,0,,0,,,,,,
244,,,unset,FLAN,=67132086/1468,1,1,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,165000.000mm,151006.600mm,101336.500mm,Unset,,,0,,0,,,,,,
245,840,17-VBL-20041,unset,FLAN,=67132086/1468,2,2,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,END,165000.000mm,150847.600mm,101336.500mm,Unset,,,0,,0,,,,,,
246,,,unset,ELBO,=67132086/1469,1,1,250mm,273,0.000,0,381.000,0,1718mm,0.000,,0.000,,165000.000mm,150847.600mm,101336.500mm,Unset,,,0,,0,,,,,,
247,850,,unset,ELBO,=67132086/1469,0,0,250mm,273,0.000,0,381.000,0,1718mm,0.000,,0.000,,165000.000mm,150466.600mm,101336.500mm,Unset,,,0,,1,,,,,,
248,,,unset,ELBO,=67132086/1469,2,2,250mm,273,0.000,0,381.000,0,1718mm,0.000,,0.000,,165381.000mm,150466.600mm,101336.500mm,Unset,,,0,,0,,,,,,
249,860,PS-171026.1,PS-171026.1,ATTA,=67132086/1470,0,0,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,167099.987mm,150466.600mm,101336.500mm,Unset,,,0,,0,,,,,,
250,870,PS-171026.2,PS-171026.2,ATTA,=67132086/1471,0,0,250mm,273,0.000,0,0.000,0,1164mm,0.000,,0.000,,167099.987mm,150466.600mm,101336.500mm,Unset,,,0,,0,,,,,,
251,,,unset,ELBO,=67132086/1472,1,1,250mm,273,0.000,0,381.000,0,0mm,0.000,,0.000,,167819.000mm,150466.600mm,101336.500mm,Unset,,,0,,0,,,,,,
252,880,,unset,ELBO,=67132086/1472,0,0,250mm,273,0.000,0,381.000,0,0mm,0.000,,0.000,,168200.000mm,150466.600mm,101336.500mm,Unset,,,0,,1,,,,,,
253,,,unset,ELBO,=67132086/1472,2,2,250mm,273,0.000,0,381.000,0,0mm,0.000,,0.000,,168200.000mm,150847.600mm,101336.500mm,Unset,,,0,,0,,,,,,
254,890,17-VCH-20004,unset,FLAN,=67132086/1473,1,2,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,START,168200.000mm,150847.600mm,101336.500mm,Unset,,,0,,0,,,,,,
255,,,unset,FLAN,=67132086/1473,2,1,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,168200.000mm,151006.600mm,101336.500mm,Unset,,,0,,0,,,,,,
256,,,unset,GASK,=67132086/1474,1,1,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,168200.000mm,151006.600mm,101336.500mm,Unset,,,0,,0,,,,,,
257,,,unset,GASK,=67132086/1474,2,2,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,168200.000mm,151009.800mm,101336.500mm,Unset,,,0,,0,,,,,,
258,,,17-VCH-20004,VALV,=67132086/1475,1,1,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,168200.000mm,151009.800mm,101336.500mm,Unset,,,0,,0,,,,,,
259,,,17-VCH-20004,VALV,=67132086/1475,2,2,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,168200.000mm,151796.800mm,101336.500mm,Unset,,,0,,0,,,,,,
260,,,unset,GASK,=67132086/1476,1,1,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,168200.000mm,151796.800mm,101336.500mm,Unset,,,0,,0,,,,,,
261,,,unset,GASK,=67132086/1476,2,2,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,168200.000mm,151800.000mm,101336.500mm,Unset,,,0,,0,,,,,,
262,,,unset,FLAN,=67132086/1477,1,1,250mm,273,0.000,0,0.000,0,125mm,0.000,,0.000,,168200.000mm,151800.000mm,101336.500mm,Unset,,,0,,0,,,,,,
263,900,17-VCH-20004,unset,FLAN,=67132086/1477,2,2,250mm,273,0.000,0,0.000,0,125mm,0.000,,0.000,END,168200.000mm,151959.000mm,101336.500mm,Unset,,,0,,0,,,,,,
264,,,unset,OLET,=67132086/1478,1,1,250mm,273,0.000,0,0.000,0,262mm,0.000,,0.000,,168200.000mm,152084.000mm,101336.500mm,=67132086/288,,,0,,0,,,,,,
265,,,unset,OLET,=67132086/1478,3,3,50mm,273,0.000,0,0.000,0,262mm,0.000,,0.000,,168200.000mm,152084.000mm,101511.100mm,=67132086/288,,,0,,0,,,,,,
266,910,,unset,OLET,=67132086/1478,0,0,250mm,273,0.000,0,0.000,0,262mm,0.000,,0.000,,168200.000mm,152084.000mm,101336.500mm,=67132086/288,,,0,,0,,,,,,
267,,,unset,OLET,=67132086/1478,2,2,250mm,273,0.000,0,0.000,0,262mm,0.000,,0.000,,168200.000mm,152084.000mm,101336.500mm,=67132086/288,,,0,,0,,,,,,
268,920,PS-171028.2,PS-171028.2,ATTA,=67132086/1479,0,0,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,168200.000mm,152347.000mm,101336.500mm,Unset,,,0,,0,,,,,,
269,930,PS-171028.4,PS-171028.4,ATTA,=67132086/1480,0,0,250mm,273,0.000,0,0.000,0,734mm,0.000,,0.000,,168200.000mm,152347.000mm,101336.500mm,Unset,,,0,,0,,,,,,
270,940,17-VBL-20042,unset,FLAN,=67132086/1481,1,2,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,START,168200.000mm,152922.400mm,101336.500mm,Unset,,,0,,0,,,,,,
271,,,unset,FLAN,=67132086/1481,2,1,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,168200.000mm,153081.400mm,101336.500mm,Unset,,,0,,0,,,,,,
272,,,unset,GASK,=67132086/1482,1,1,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,168200.000mm,153081.400mm,101336.500mm,Unset,,,0,,0,,,,,,
273,,,unset,GASK,=67132086/1482,2,2,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,168200.000mm,153084.600mm,101336.500mm,Unset,,,0,,0,,,,,,
274,,,17-VBL-20042,VALV,=67132086/1483,1,2,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,168200.000mm,153084.600mm,101336.500mm,Unset,,,0,,0,,,,,,
275,,,17-VBL-20042,VALV,=67132086/1483,2,1,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,168200.000mm,153871.600mm,101336.500mm,Unset,,,0,,0,,,,,,
276,,,unset,GASK,=67132086/1484,1,1,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,168200.000mm,153871.600mm,101336.500mm,Unset,,,0,,0,,,,,,
277,,,unset,GASK,=67132086/1484,2,2,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,168200.000mm,153874.800mm,101336.500mm,Unset,,,0,,0,,,,,,
278,,,unset,PCOM,=67132086/1485,1,1,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,168200.000mm,153874.800mm,101336.500mm,Unset,,,0,,0,,,,,,
279,,,unset,PCOM,=67132086/1485,2,2,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,168200.000mm,153909.900mm,101336.500mm,Unset,,,0,,0,,,,,,
280,,,unset,GASK,=67132086/1486,1,1,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,168200.000mm,153909.900mm,101336.500mm,Unset,,,0,,0,,,,,,
281,,,unset,GASK,=67132086/1486,2,2,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,168200.000mm,153913.100mm,101336.500mm,Unset,,,0,,0,,,,,,
282,,,unset,FLAN,=67132086/1487,1,1,250mm,273,0.000,0,0.000,0,191mm,0.000,,0.000,,168200.000mm,153913.100mm,101336.500mm,Unset,,,0,,0,,,,,,
283,950,17-VBL-20042,unset,FLAN,=67132086/1487,2,2,250mm,273,0.000,0,0.000,0,191mm,0.000,,0.000,END,168200.000mm,154072.100mm,101336.500mm,Unset,,,0,,0,,,,,,
