Sequence,NodeNo,NodeName,componentName,Type,RefNo,Point,PPoint,Bore,O/D,Wall Thickness,Corrosion Allowance,Radius,SIF,LTube Length,Weight,Material,Rigid Weight,Rigid,East,North,Up,Conn Ref,Connected Type,Insu Material,Insu Thickness,Status,Bend Type,Pressure,Temperature,Restraint Type,Restraint Stiffness,Restraint Friction,Restraint Gap
645,,,unset,FLAN,=67132086/1295,2,1,200mm,219.1,0.000,0,0.000,0,0mm,0.000,,0.000,,181425.000mm,155518.200mm,100927.798mm,Unset,,,0,,0,,,,,,
646,,,unset,GASK,=67132086/1296,1,1,200mm,219.1,0.000,0,0.000,0,0mm,0.000,,0.000,,181425.000mm,155518.200mm,100927.798mm,Unset,,,0,,0,,,,,,
647,,,unset,GASK,=67132086/1296,2,2,200mm,219.1,0.000,0,0.000,0,0mm,0.000,,0.000,,181425.000mm,155515.000mm,100927.798mm,Unset,,,0,,0,,,,,,
648,,,17-VBL-20013,VALV,=67132086/1297,1,2,200mm,219.1,0.000,0,0.000,0,0mm,0.000,,0.000,,181425.000mm,155515.000mm,100927.798mm,Unset,,,0,,0,,,,,,
649,,,17-VBL-20013,VALV,=67132086/1297,2,1,200mm,219.1,0.000,0,0.000,0,0mm,0.000,,0.000,,181425.000mm,154855.000mm,100927.798mm,Unset,,,0,,0,,,,,,
650,,,unset,GASK,=67132086/1298,1,1,200mm,219.1,0.000,0,0.000,0,0mm,0.000,,0.000,,181425.000mm,154855.000mm,100927.798mm,Unset,,,0,,0,,,,,,
651,,,unset,GASK,=67132086/1298,2,2,200mm,219.1,0.000,0,0.000,0,0mm,0.000,,0.000,,181425.000mm,154851.800mm,100927.798mm,Unset,,,0,,0,,,,,,
652,,,unset,FLAN,=67132086/1299,1,1,200mm,219.1,0.000,0,0.000,0,0mm,0.000,,0.000,,181425.000mm,154851.800mm,100927.798mm,Unset,,,0,,0,,,,,,
653,2400,17-VBL-20013,unset,FLAN,=67132086/1299,2,2,200mm,219.1,0.000,0,0.000,0,0mm,0.000,,0.000,END,181425.000mm,154711.800mm,100927.798mm,Unset,,,0,,0,,,,,,
654,,,unset,TEE,=67132086/1300,1,1,200mm,219.1,0.000,0,0.000,0,578mm,0.000,,0.000,,181425.000mm,154711.800mm,100927.798mm,=67132086/1339,,,0,,0,,,,,,
