Sequence,NodeNo,NodeName,componentName,Type,RefNo,Point,PPoint,Bore,O/D,Wall Thickness,Corrosion Allowance,Radius,SIF,Weight,Material,Rigid,East,North,Up,Status,Pressure,Restraint Type,Restraint Stiffness,Restraint Friction,Restraint Gap
104,,,unset,ELBO,=67130482/1192,2,2,350mm,355.6,0.000,0,533.000,0,0.000,,,117851.229mm,-13000.000mm,101967.998mm,,,,,,
105,,,unset,OLET,=67130482/1594,1,1,350mm,355.6,0.000,0,0.000,0,0.000,,,117551.229mm,-13000.000mm,101967.998mm,,,,,,
106,,,unset,OLET,=67130482/1594,3,3,50mm,355.6,0.000,0,0.000,0,0.000,,,117551.229mm,-13000.000mm,101752.098mm,,,,,,
107,390,,unset,OLET,=67130482/1594,0,0,350mm,355.6,0.000,0,0.000,0,0.000,,,117551.229mm,-13000.000mm,101967.998mm,,,,,,
108,,,unset,OLET,=67130482/1594,2,2,350mm,355.6,0.000,0,0.000,0,0.000,,,117551.229mm,-13000.000mm,101967.998mm,,,,,,
109,400,PS00170.1,PS00170.1,ANCI,=67130482/2758,0,0,350mm,355.6,0.000,0,0.000,0,0.000,,,116951.230mm,-13000.000mm,101967.998mm,,,,,,
110,410,,unset,FLAN,=67146866/4059,1,2,350mm,355.6,0.000,0,0.000,0,0.000,,START,116075.000mm,-13000.000mm,101968.000mm,,,,,,
111,,,unset,FLAN,=67146866/4059,2,1,350mm,355.6,0.000,0,0.000,0,0.000,,,115948.000mm,-13000.000mm,101968.000mm,,,,,,
112,,,unset,GASK,=67146866/4058,1,1,350mm,355.6,0.000,0,0.000,0,0.000,,,115948.000mm,-13000.000mm,101968.000mm,,,,,,
113,,,unset,GASK,=67146866/4058,2,2,350mm,355.6,0.000,0,0.000,0,0.000,,,115945.000mm,-13000.000mm,101968.000mm,,,,,,
114,420,,unset,BRAN,=67130482/1662,2,2,350mm,355.6,0.000,0,0.000,0,0.000,0,END,115945.000mm,-13000.000mm,101968.000mm,,0,,,,
